username,repo_name,stars,repu_url
arendst,Tasmota,18900,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,18900,https://github.com/MarlinFirmware/Marlin
arduino,Arduino,18900,https://github.com/arduino/Arduino
rwaldron,johnny-five,18900,https://github.com/rwaldron/johnny-five
tinygo-org,tinygo,18900,https://github.com/tinygo-org/tinygo
SpacehuhnTech,esp8266_deauther,18900,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,18900,https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,18900,https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,18900,https://github.com/hybridgroup/gobot
platformio,platformio-core,18900,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,18900,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,18900,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,18900,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,18900,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,18900,https://github.com/arduino/arduino-cli
blynkkk,blynk-library,18900,https://github.com/blynkkk/blynk-library
olikraus,u8g2,18900,https://github.com/olikraus/u8g2
NectarJS,nectarjs,18900,https://github.com/NectarJS/nectarjs
ClemensElflein,OpenMower,18900,https://github.com/ClemensElflein/OpenMower
Serial-Studio,Serial-Studio,18900,https://github.com/Serial-Studio/Serial-Studio
