username,repo_name,stars,repu_url
jwasham,coding-interview-university,242000,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,160000,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,158000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,150000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,83800,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,58900,https://github.com/kdn251/interviews
azl397985856,leetcode,50100,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,49400,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,42000,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,34300,https://github.com/youngyangyang04/leetcode-master
halfrost,LeetCode-Go,28800,https://github.com/halfrost/LeetCode-Go
huihut,interview,27000,https://github.com/huihut/interview
crossoverJie,JCSprout,26900,https://github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,26700,https://github.com/donnemartin/interactive-coding-challenges
TheAlgorithms,JavaScript,24200,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,22600,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,22000,https://github.com/keon/algorithms
trekhleb,homemade-machine-learning,20700,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,20400,https://github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,17100,https://github.com/AtsushiSakai/PythonRobotics
