username,repo_name,stars,repu_url
mrdoob,three.js,87800,https://github.com/mrdoob/three.js
libgdx,libgdx,87800,https://github.com/libgdx/libgdx
pmndrs,react-three-fiber,87800,https://github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,87800,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,87800,https://github.com/ssloy/tinyrenderer
aframevr,aframe,87800,https://github.com/aframevr/aframe
lettier,3d-game-shaders-for-beginners,87800,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,87800,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,87800,https://github.com/CesiumGS/cesium
metafizzy,zdog,87800,https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,87800,https://github.com/timzhang642/3D-Machine-Learning
isl-org,Open3D,87800,https://github.com/isl-org/Open3D
blender,blender,87800,https://github.com/blender/blender
a1studmuffin,SpaceshipGenerator,87800,https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,87800,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,87800,https://github.com/FyroxEngine/Fyrox
openscad,openscad,87800,https://github.com/openscad/openscad
google,model-viewer,87800,https://github.com/google/model-viewer
spritejs,spritejs,87800,https://github.com/spritejs/spritejs
jagenjo,webglstudio.js,87800,https://github.com/jagenjo/webglstudio.js
